Date,Pilot Code,Vehicle Code,Station Code,Start Time,End Time,Distance,Total collection
01-06-2024,1237,2307,504,06:41:00,16:43:07,0,1500
01-06-2024,1048,2044,504,08:56:53,17:31:20,130.9,1419
01-06-2024,1115,2054,503,08:26:38,17:31:24,94.2,1214
01-06-2024,1116,2112,503,08:43:50,17:43:59,135.2,1446
01-06-2024,1150,2287,511,08:55:53,18:59:15,97.8,1127
01-06-2024,1685,2293,511,08:13:45,19:32:19,0,1383
01-06-2024,1375,2295,511,07:58:07,19:23:15,114,1253
01-06-2024,1265,2328,504,07:58:31,20:09:56,167.7,1661
01-06-2024,1681,2342,511,08:54:47,20:45:30,0,1470
01-06-2024,1152,2349,504,07:57:28,18:10:22,144.9,1586
01-06-2024,1055,2055,504,10:36:43,18:54:09,105.6,1270
01-06-2024,1112,2297,511,09:03:58,19:05:22,0,1207
01-06-2024,1181,2319,504,09:35:08,19:35:49,117.3,1247
02-06-2024,1265,2328,504,07:10:37,19:36:10,145.8,1660
02-06-2024,1048,2044,504,07:57:09,16:15:55,98,1416
02-06-2024,1115,2054,503,08:42:55,16:42:49,103.5,1213
02-06-2024,1116,2112,503,08:54:49,17:36:32,106.2,1087
02-06-2024,1681,2342,511,08:05:47,17:03:07,0,885
02-06-2024,1152,2349,504,07:44:46,19:28:15,153.4,1635
02-06-2024,1149,2355,504,08:17:25,19:36:49,173,1765
02-06-2024,1023,2026,503,09:53:04,17:42:59,112.7,1238
02-06-2024,1055,2055,504,10:30:44,19:54:53,122.3,1344
02-06-2024,1150,2287,511,10:05:04,19:28:47,85.9,891
02-06-2024,1685,2293,511,10:23:10,19:55:36,0,1109
02-06-2024,1236,2343,511,10:05:40,19:41:10,117.9,1202
03-06-2024,1237,2307,504,06:25:00,17:18:20,0,1303
03-06-2024,1152,2349,504,07:00:06,20:45:22,185.7,2074
03-06-2024,1022,2016,503,08:23:49,17:29:11,95.9,1222
03-06-2024,1017,2023,504,08:09:18,17:21:20,142.2,1386
03-06-2024,1023,2026,503,08:32:33,19:18:52,113.7,1314
03-06-2024,1048,2044,504,07:38:39,16:45:24,133.9,1368
03-06-2024,1115,2054,503,07:50:27,17:42:09,107.2,1237
03-06-2024,1685,2293,511,08:02:50,19:35:48,0,1646
03-06-2024,1112,2297,511,07:42:58,19:26:57,0,1100
03-06-2024,1149,2355,504,07:47:55,20:16:42,160.4,1605
03-06-2024,1055,2055,504,09:58:21,19:40:59,130.2,1431
03-06-2024,1265,2328,504,09:16:37,21:45:00,143.8,1331
03-06-2024,1681,2342,511,11:36:37,20:15:24,0,1056
03-06-2024,1150,2287,511,14:06:54,20:33:08,70.1,717
04-06-2024,1237,2307,504,06:23:47,19:59:42,0,1341
04-06-2024,1149,2355,504,07:20:47,19:50:20,188.4,1984
04-06-2024,1017,2023,504,08:11:55,16:56:13,144.1,1411
04-06-2024,1023,2026,503,08:04:28,17:36:55,122.2,1364
04-06-2024,1048,2044,504,08:08:57,18:09:41,134.6,1505
04-06-2024,1115,2054,503,08:16:44,17:25:36,123.3,1264
04-06-2024,1116,2112,503,08:34:13,18:44:36,115.7,1253
04-06-2024,1375,2295,511,08:17:34,19:46:39,74.8,778
04-06-2024,1112,2297,511,08:44:50,19:52:05,0,1004
04-06-2024,1265,2328,504,08:11:48,22:03:30,153.6,1625
04-06-2024,1681,2342,511,07:42:46,20:17:53,0,1346
04-06-2024,1055,2055,504,09:31:22,21:58:46,146.8,1777
04-06-2024,1150,2287,511,09:36:19,19:03:16,86.1,887
04-06-2024,1685,2293,511,10:11:28,20:13:05,0,823
04-06-2024,1227,2316,504,09:31:41,21:29:27,148.3,1447
04-06-2024,1181,2319,504,10:05:39,20:06:44,127.4,1205
04-06-2024,1236,2343,511,09:05:53,19:00:31,94.9,958
05-06-2024,1152,2349,504,07:11:31,17:56:53,156.3,1524
05-06-2024,1017,2023,504,07:57:22,17:27:44,136.6,1404
05-06-2024,1023,2026,503,07:59:32,18:01:38,103.9,1229
05-06-2024,1048,2044,504,07:39:09,16:42:59,122.7,1413
05-06-2024,1115,2054,503,08:18:47,17:17:05,111.8,1315
05-06-2024,1116,2112,503,08:26:34,17:53:02,112.9,1202
05-06-2024,1375,2295,511,07:55:51,19:26:19,90.5,1000
05-06-2024,1112,2297,511,07:45:04,19:47:40,0,1044
05-06-2024,1227,2316,504,08:45:25,22:06:11,156.9,1806
05-06-2024,1181,2319,504,08:52:38,19:23:58,111.1,1245
05-06-2024,1265,2328,504,09:01:32,21:06:20,148,1505
05-06-2024,1681,2342,511,07:43:01,20:38:17,0,969
05-06-2024,1236,2343,511,08:47:20,18:20:03,73.7,712
05-06-2024,1149,2355,504,07:48:46,19:33:28,155.8,1601
05-06-2024,1055,2055,504,10:30:31,21:57:45,145.9,1833
05-06-2024,1150,2287,511,09:11:21,18:34:06,104.4,1172
05-06-2024,1685,2293,511,09:27:38,20:45:43,0,735
05-06-2024,1237,2307,504,09:39:53,20:23:44,0,1201
06-06-2024,1237,2307,504,06:26:49,19:16:54,0,1205
06-06-2024,1017,2023,504,08:00:26,15:43:32,104.6,1243
06-06-2024,1023,2026,503,08:30:50,17:40:15,121.7,1242
06-06-2024,1115,2054,503,08:09:16,16:36:39,107.2,1223
06-06-2024,1055,2055,504,08:11:23,20:30:50,156.4,1667
06-06-2024,1116,2112,503,08:35:55,18:08:36,110.5,1209
06-06-2024,1685,2293,511,08:16:22,20:16:03,0,1215
06-06-2024,1375,2295,511,08:06:11,19:18:53,83.7,926
06-06-2024,1112,2297,511,07:54:34,19:18:33,0,1206
06-06-2024,1265,2328,504,08:23:23,19:51:16,152.1,1623
06-06-2024,1681,2342,511,07:44:06,19:50:21,0,1077
06-06-2024,1152,2349,504,07:39:58,20:52:01,170.8,1742
06-06-2024,1149,2355,504,07:39:43,17:15:13,135.6,1411
06-06-2024,1227,2316,504,09:34:06,22:03:30,130.9,1516
06-06-2024,1181,2319,504,09:34:14,18:48:41,102.6,1233
06-06-2024,1236,2343,511,09:05:26,19:09:52,94.8,857
07-06-2024,1237,2307,504,06:37:01,20:00:42,0,1309
07-06-2024,1017,2023,504,08:08:33,18:22:25,124.3,1246
07-06-2024,1023,2026,503,08:36:27,16:44:15,113.1,1304
07-06-2024,1048,2044,504,08:00:50,10:24:40,36.4,313
07-06-2024,1115,2054,503,08:04:45,17:56:47,113.8,1238
07-06-2024,1055,2055,504,08:24:41,22:04:40,186.2,2102
07-06-2024,1116,2112,503,08:26:19,17:32:59,120.7,1202
07-06-2024,1150,2287,511,08:38:52,19:10:28,122.5,1298
07-06-2024,1685,2293,511,08:56:13,19:53:13,0,1080
07-06-2024,1375,2295,511,07:26:19,19:20:55,109.5,1114
07-06-2024,1112,2297,511,08:26:14,18:40:13,0,1257
07-06-2024,1265,2328,504,07:51:09,21:23:52,129.7,1611
07-06-2024,1681,2342,511,08:17:38,19:14:59,0,1003
07-06-2024,1152,2349,504,07:35:34,13:35:51,74.3,783
07-06-2024,1227,2316,504,09:57:50,21:14:44,129.7,1343
07-06-2024,1181,2319,504,09:27:06,18:02:37,94.1,1210
07-06-2024,1236,2343,511,09:20:11,18:29:14,88.6,881
08-06-2024,1375,2295,511,07:16:17,19:49:48,99.3,1193
08-06-2024,1237,2307,504,06:42:31,20:51:57,0,1875
08-06-2024,1227,2316,504,07:23:36,19:23:55,120.9,1206
08-06-2024,1152,2349,504,06:54:58,19:53:32,151.9,1646
08-06-2024,1017,2023,504,07:42:42,19:16:59,128.7,1229
08-06-2024,1023,2026,503,09:01:35,18:19:38,115.1,1201
08-06-2024,1048,2044,504,07:30:45,14:57:57,82.8,1216
08-06-2024,1115,2054,503,08:16:14,18:08:39,123.4,1321
08-06-2024,1055,2055,504,08:05:57,11:34:40,51.7,481
08-06-2024,1116,2112,503,08:35:39,17:54:20,130.2,1220
08-06-2024,1112,2297,511,07:52:16,19:54:56,0,1312
08-06-2024,1265,2328,504,08:30:38,20:08:03,128.6,1600
08-06-2024,1681,2342,511,08:06:03,19:36:43,0,1081
08-06-2024,1149,2355,504,07:58:09,19:22:42,152.7,1568
08-06-2024,1150,2287,511,09:42:48,20:21:33,117,1232
08-06-2024,1685,2293,511,09:10:49,19:45:47,0,1283
08-06-2024,1181,2319,504,09:54:37,18:55:35,95.5,1222
08-06-2024,1226,2329,504,09:04:07,18:02:35,127.3,1331
08-06-2024,1236,2343,511,09:07:16,19:15:14,125.5,1226
09-06-2024,1237,2307,504,06:07:30,18:33:26,0,1071
09-06-2024,1149,2355,504,06:18:39,15:21:54,100.3,1301
09-06-2024,1115,2054,503,08:22:23,16:32:36,85.7,916
09-06-2024,1681,2342,511,08:11:40,19:22:15,0,1254
09-06-2024,1017,2023,504,09:15:14,15:03:38,87.8,1009
09-06-2024,1023,2026,503,09:16:22,16:42:22,89.9,1013
09-06-2024,1150,2287,511,10:12:23,19:17:19,109.8,1211
09-06-2024,1112,2297,511,10:24:58,19:19:44,0,1212
09-06-2024,1181,2319,504,09:59:41,19:20:36,119.3,1204
09-06-2024,1265,2328,504,09:28:54,20:19:13,147.5,1546
09-06-2024,1236,2343,511,10:10:03,18:57:52,98.1,1002
10-06-2024,1237,2307,504,07:06:24,17:04:30,0,1031
10-06-2024,1017,2023,504,07:53:15,17:24:45,143.6,1443
10-06-2024,1048,2044,504,07:47:37,16:49:37,135.6,1429
10-06-2024,1115,2054,503,08:18:43,17:53:19,109.5,1229
10-06-2024,1116,2112,503,08:43:52,17:57:04,108.6,1210
10-06-2024,1150,2287,511,09:00:44,18:45:46,112,1208
10-06-2024,1685,2293,511,07:47:59,20:03:02,0,1198
10-06-2024,1375,2295,511,07:47:24,19:44:45,128,1568
10-06-2024,1112,2297,511,08:30:06,17:57:16,0,1426
10-06-2024,1227,2316,504,08:36:09,21:52:53,139.1,1517
10-06-2024,1265,2328,504,08:44:26,19:27:51,141.6,1611
10-06-2024,1681,2342,511,07:43:01,19:05:11,0,1124
10-06-2024,1236,2343,511,08:48:37,18:50:33,108.1,1010
10-06-2024,1152,2349,504,07:38:23,17:39:05,132.1,1506
10-06-2024,1149,2355,504,08:14:18,19:52:57,159.4,1608
10-06-2024,1181,2319,504,10:12:46,19:42:01,113.3,1301
11-06-2024,1152,2349,504,07:03:57,20:13:57,166.7,1800
11-06-2024,1022,2016,503,08:37:50,17:33:21,105.5,1235
11-06-2024,1017,2023,504,07:50:06,18:07:07,154.5,1461
11-06-2024,1023,2026,503,08:32:46,18:27:45,113.5,1208
11-06-2024,1048,2044,504,07:46:07,16:22:24,124.9,1515
11-06-2024,1115,2054,503,08:05:16,18:12:24,108,1202
11-06-2024,1116,2112,503,08:24:33,17:53:03,100.9,1188
11-06-2024,1685,2293,511,07:34:36,19:52:19,0,1105
11-06-2024,1227,2316,504,08:52:22,21:07:54,154.9,1508
11-06-2024,1265,2328,504,07:42:07,20:30:04,144.6,1723
11-06-2024,1681,2342,511,08:02:31,20:00:20,0,1034
11-06-2024,1149,2355,504,07:37:45,20:06:40,181.2,1905
11-06-2024,1055,2055,504,10:27:04,18:25:27,0,880
11-06-2024,1150,2287,511,09:29:25,18:52:57,80.1,825
11-06-2024,1112,2297,511,09:25:57,19:08:47,0,1301
11-06-2024,1181,2319,504,10:45:03,19:57:29,94.7,1234
12-06-2024,1055,2055,504,06:03:29,18:44:52,0,917
12-06-2024,1237,2307,504,06:56:26,20:09:56,0,1427
12-06-2024,1152,2349,504,07:06:12,19:16:04,159,1650
12-06-2024,1022,2016,503,08:36:52,17:05:07,104.2,1234
12-06-2024,1017,2023,504,08:02:17,14:51:30,102.7,1120
